Unnamed: 0,Performances,SMILES,Length,ElementTypes
14,3.325772,S1CSCSC1.[Ag],13,3.0
15,1.747237,S1CCSCC1.[Au].[C]#N.[Cu],24,5.0
16,4.113727,S1CCSCC1.[Ag][Ag],17,3.0
17,3.139353,S1CCSCC1.[Ag],13,3.0
18,2.195493,S1Cc2ccc(cc2)CSCc2ccc(C1)cc2.[Cu]I,34,4.0
19,2.074996,S1Cc2ccc(cc2)CSCc2ccc(C1)cc2.[Cu]Br,35,4.0
20,2.773602,S1CC2CCC(CC2)CSCc2ccc(C1)cc2.[Ag],33,3.0
21,3.391607,S=C1NN=C[N]1.S=C1[N]N=CN1.[Cd].[O]S(=O)(=O)[O],46,5.0
22,2.590863,S=C1NCCN1.[Ag],14,4.0
23,3.605209,S=C1NCC[N]1.[Cd],16,4.0
24,2.555845,S=C1Nc2c([N]1)cccc2.[Yb].c1ccc2c(c1)N=C([N]2)C1=Nc2c([N]1)cccc2,63,4.0
25,2.551029,S=C1Nc2c([N]1)cccc2.[Ho].c1ccc2c(c1)N=C([N]2)C1=Nc2c([N]1)cccc2,63,4.0
26,2.82003,S=C1N=NC(=S)S1.[Sn],19,4.0
27,0.0246,S=C1N=CC=NC1=S.[Cu].[Ni],24,5.0
28,0.039205,S=C1N=CC=NC1=S.[Cu].[Ni],24,5.0
29,2.274655,S=C1N[N]C(=S)S1.[Zn],20,4.0
30,1.259777,S=c1ccccn1c1ccccn1.[Cu]Br,25,5.0
31,2.514025,S=C1C=CC=C[N+]1[O-].[Cd],24,5.0
32,2.638872,S=C1C=C[CH]C=N1.S=C1[CH]C=CC=N1.[Cd],36,4.0
33,2.564523,S=C1C=C[C](C=N1)C(F)(F)F.[Cd],29,5.0
34,2.101411,S=c1[nH]c2c([nH]1)cccc2.[Cu]1[Cu][Cu][Cu]1.[I],46,5.0
35,1.614271,S=C1[N]S(=O)(=O)c2c1cccc2.[Ag][Ag],34,5.0
36,0.535298,S=C1[N]N=NN1c1ccccc1.[Co],25,4.0
37,3.110707,S=C1[N]N=NN1c1ccccc1.[Cd],25,4.0
38,3.079223,S=C1[N]N=NN1C.[Cd],18,4.0
39,3.223722,S=C1[N]N=CN1.[Cd]I,18,5.0
40,3.138692,S=C1[N]N=C(S1)N.[Zn],20,4.0
41,2.617063,S=C1[N]N=C(S1)N.[Cd],20,4.0
42,2.622797,S=C1[N]N=C(S1)CN1[CH]N=C[N]1.[Zn],33,4.0
43,3.044542,S=C1[N]N=C(S1)CN1[CH]N=C[N]1.[Cd],33,4.0
44,1.761556,S=C1[N]N=C(S1)c1ccncc1.[Zn],27,4.0
45,1.229648,S=C1[N]N=C(S1)c1cccnc1.[Ni],27,4.0
46,2.305753,S=C1[N]N=C(N1N)c1ccccn1.[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn],57,5.0
47,2.466531,S=C1[N]N=C(N1C)c1ccccn1.[Hg],28,4.0
48,2.106576,S=C1[N]CCS1.[Cu]1[Cu]2[Cu]1[Cu]2,32,4.0
49,2.804349,S=C1[N]c2c(S1)cccc2.[Cd],24,4.0
50,2.26145,S=C1[CH]C=CC=N1.[Ag]12[Ag]3[Ag]1[Ag]1[Ag]4[Ag]([Ag]23)[Ag]14,60,4.0
51,2.587399,S=C(NCc1cccnc1)NCc1cccnc1.[Cd],30,4.0
52,1.382133,S(Cc1nccnc1)Cc1nccnc1.[Ni],26,4.0
53,2.205914,S(Cc1ccncc1)Cc1ccncc1.[Ag].[O-]C(=O)c1ccc(cc1)C(=O)[O-],55,5.0
54,2.572999,S(Cc1ccncc1)Cc1ccncc1.[Ag],26,4.0
55,4.270286,OP(=O)(c1ccccc1)O.[Na].[O]P(=O)(c1ccccc1)O,42,4.0
56,4.060653,OP(=O)(c1ccccc1)O.[Li].[O]P(=O)(c1ccccc1)O,42,4.0
57,1.575226,ON1N(O)c2cc(ccc2-c2c1cc(cc2)C(=O)[O-])C(=O)[O-].[Cd].c1cc(cc(c1)n1cncc1)n1cncc1,79,4.0
58,2.324412,ON=Cc1ncc[nH]1.[Ag],19,4.0
59,0.851833,ON=Cc1cc(cc(c1[O])CN(Cc1cccc(c1)CN(Cc1cc(cc(c1[O])C=NO)C(C)(C)C)C)C)C(C)(C)C.[Cu],81,4.0
60,1.919246,ON=C(c1ccccn1)c1ccncc1.[Ag][Ag],31,4.0
61,4.811117,OCP(=O)(CO)[O].[Sr],19,4.0
62,0.591537,OCCOC(=O)[C](C#N)C#N.[Cu],25,4.0
63,0.358353,OCCO.[Cu].[N][N][N].[O-]C(=O)c1cc(F)cnc1,40,5.0
64,3.657774,OCCN1CCN(CC1)CCS([O])([O])[O].[Ag],34,5.0
65,4.71524,OCCN1CCCC1=O.[Ca],17,4.0
66,4.63611,OCCN1CCCC1=O.[Ca],17,4.0
67,4.624667,OCCN(CCO)CCO.[Na],17,4.0
68,2.473276,OCC1SCCS1.[Ag],14,4.0
69,4.677402,OCC1OC(OC2CCC3(C(C2)CCC2C3CCC3(C2CCC3C(CCC(=O)[O-])C)C)C)C(C(C1O)O)O.[Li],73,3.0
70,3.527539,OCC1OC(Oc2ccc(cc2)OC2OC(CO)C(C(C2[O])O)O)C(C(C1O)O)O.[Na],57,3.0
71,3.103241,OCc1nc(c([nH]1)C(=O)[O-])C(=O)[O-].[Sr],39,4.0
72,1.371123,OCc1ccncc1.[Co],15,4.0
73,3.33853,OCc1cccnc1.[Zn],15,4.0
74,2.260286,OCc1cccnc1.[Cd],15,4.0
75,2.956102,OCc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cd],37,3.0
76,3.376441,OCC1=NC(=C([N]1)C(=O)O)C(=O)[O-].[Zn],37,4.0
77,3.215921,OCc1[nH]c2c(n1)cc(cc2)C(=O)[O-].[Zn],36,4.0
78,3.383674,OCc1[nH]c2c(n1)cc(cc2)C(=O)[O-].[Zn],36,4.0
79,3.288652,OCc1[nH]c2c(n1)cc(cc2)C(=O)[O-].[Cd],36,4.0
80,2.928472,OCc1[nH]c(c(n1)C(=O)O)C(=O)[O-].OCc1[nH]c(c(n1)C(=O)[O-])C(=O)O.[Ba],68,4.0
81,4.203028,OCC(CO)[O].[K],14,3.0
82,3.365391,OCC(C(CO)O)O.[Zn],17,3.0
83,3.474148,OCC(C(CO)O)O.[Ca],17,3.0
84,5.033365,OCC(C(C(C(CO)O)O)O)O.[Sr],25,3.0
85,3.259953,OCC(C(C(C(CO)O)O)O)O.[Sr],25,3.0
86,5.603138,OCC(C(C(C(C(S([O])([O])[O])O)O)O)O)O.[Na],41,4.0
87,3.327677,OCC(C(=O)[O-])NCc1ccncc1.[Cd],29,4.0
88,3.525745,OCC(C(=O)[O-])NCc1ccc(cc1)C(=O)[O-].[Zn],40,4.0
89,5.21999,OC1COC(C(C1O)O)O.[Cs],21,3.0
90,5.329799,OC1COC(C(C1O)O)O.[Cs],21,3.0
91,1.73411,Oc1ccccc1N=Nc1ccccc1S([O])([O])[O].[K],38,5.0
92,0.695331,Oc1cccc(n1)C1=NC(=O)C=C[CH]1.[OH].[Cu],38,4.0
93,1.914796,OC1CCc2c(C1O)c(ccn2)c1ccncc1.[O-]C(=O)C=CC(=O)[O-].[Zn][Zn],59,4.0
94,1.797073,Oc1ccc(cc1)N=Nc1ccc(cc1)S([O])([O])[O].[Ag],43,5.0
95,1.978104,Oc1ccc(cc1)N(=O)=O.[Rb],23,4.0
96,2.911836,Oc1cc(O)c(cc1S([O])([O])[O])S([O])([O])[O].[Ag][Ag],51,4.0
97,0.382647,Oc1cc(nc(c1)C(=O)[O-])C(=O)[O-].[Ag].[Cu],41,5.0
98,2.208069,Oc1cc(cc(c1)C(=O)Nc1cccnc1)C(=O)Nc1cccnc1.Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn],78,4.0
99,2.487934,Oc1cc(cc(c1)C(=O)Nc1cccnc1)C(=O)Nc1cccnc1.[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn],75,4.0
100,2.521721,Oc1cc(cc(c1)C(=O)Nc1cccnc1)C(=O)Nc1cccnc1.[Cd].[O-]C(=O)c1ccc(cc1)C(=O)[O-],75,4.0
101,1.500148,Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn].n1ccc(cc1)C=Cc1ccncc1,58,4.0
102,1.810322,Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn].n1ccc(cc1)C=Cc1ccncc1,58,4.0
103,3.022715,Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn].c1ncn(c1)CCn1cncc1,55,4.0
104,2.178715,Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn].c1ncn(c1)c1ccc(s1)c1ccc(s1)n1cncc1,71,5.0
105,0.970397,Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Ni].c1ncn(c1)c1ccc(cc1)n1cncc1,63,4.0
106,0.84078,Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cu].c1ncn(c1)c1ccc(cc1)n1cncc1,63,4.0
107,0.507687,Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Co].c1ccc(c(c1)Cn1ncnc1)Cn1ncnc1,65,4.0
108,3.002829,Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cd].n1ccc(cc1)CCc1ccncc1,57,4.0
109,2.11119,Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cd].n1ccc(cc1)C1=N[C](N([N]1)Cn1ncnc1)c1ccncc1,79,4.0
110,3.147763,Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cd].c1ncn(c1)c1ccc(cc1)Oc1ccc(cc1)n1cncc1,74,4.0
111,2.835204,Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cd].c1cnc([nH]1)c1ncc[nH]1,59,4.0
112,2.676089,Oc1cc(c(cc1P(=O)(O)[O])O)P(=O)(O)[O].[Zn],41,4.0
113,0.693768,OC1C(O)C(OC1n1ccc(nc1=O)N)COP(=O)([O])[O].[Cu].n1ccc(cc1)c1ccncc1,65,5.0
114,3.637506,OC1C(O)C(OC1n1ccc(=O)[nH]c1=O)COP(=O)(O)[O].OC1C(O)C(OC1n1ccc(=O)[nH]c1=O)COP(=O)([O])O.[K],91,5.0
115,5.395605,OC1C(O)C(O)C(C(C1O)O)O.[Cs],27,3.0
116,3.620508,Oc1c(CN2[CH]N=C[N]2)cc(cc1CN1[CH]N=C[N]1)C(C)(C)C.[Cd],54,4.0
117,0.713655,OC1(CCCCC1)P(=O)([O])[O].[Cu],29,4.0
118,0.452226,OC(P(=O)(O)[O])(P(=O)(O)[O])Cn1ncnc1.OC(P(=O)([O])O)(P(=O)([O])O)CN1[N]C=N[CH]1.[Co],84,5.0
119,2.843841,OC(P(=O)([O])[O])C1=C[CH]NC=C1.[Gd],35,5.0
120,0.70877,OC(P(=O)([O])[O])(P(=O)([O])[O])CN1[CH]NC=C1.[Cu],49,5.0
121,2.373343,OC(c1ccncc1)(c1ccncc1)c1ccncc1.[Zn],35,4.0
122,0.833105,OC(c1ccccc1)C(=O)[O-].[Cu],26,3.0
123,0.551998,OC(C(c1ccncc1)O)c1ccncc1.[Co].[N][N][N],39,4.0
124,2.972552,OC(C(c1ccncc1)O)c1ccncc1.[Cd].[O-]C(=O)c1ccc(cc1)C(=O)[O-],58,4.0
125,3.743154,OC(C(C(C(C(=O)O)O)O)O)C(=O)[O-].[K],35,3.0
126,4.112379,OC(C(C(=O)[O-])O)C(=O)[O-].[Pb],31,3.0
127,4.105428,OC(C(C(=O)[O-])O)C(=O)[O-].[Pb],31,3.0
128,0.85281,OC(C(C(=O)[O-])O)C(=O)[O-].[Cu].n1ccc(cc1)c1ccncc1,50,4.0
129,0.85727,OC(C(C(=O)[O-])O)C(=O)[O-].[Cu].n1ccc(cc1)c1ccncc1,50,4.0
130,0.724865,OC(C(C(=O)[O-])O)C(=O)[O-].[Cu],31,3.0
131,4.067307,OC(=O)CCP(=O)(c1ccccc1)[O].[Pb],31,4.0
132,3.774635,OC(=O)CCCCC1SCC2C1NC(=O)N2.[Ag],31,5.0
133,2.959571,OC(=O)CCCCC1SCC2C1NC(=O)N2.[Ag],31,5.0
134,4.752675,OC(=O)CCCC(=O)O.[K].[O-]C(=O)CCCC(=O)O.[O-]C(=O)CCCC(=O)O,57,3.0
135,1.00248,OC(=O)CC(C(=O)[O-])O.[Cu],25,3.0
136,2.431362,OC(=O)c1nccnc1C(=O)[O-].[Li].[O]N(=O)=O,39,4.0
137,1.476444,OC(=O)c1nccnc1C(=O)[O-].[Ag].[O-]C(=O)c1nccnc1C(=O)[O-],55,4.0
138,1.471322,OC(=O)c1nc2c(nc1C(=O)[O-])c1cccnc1c1c2cccn1.[Ag],48,4.0
139,1.403252,OC(=O)c1nc([nH]c1C(=O)[O-])c1ccccc1c1[nH]c(c(n1)C(=O)O)C(=O)[O-].[Mn],69,4.0
140,1.006675,OC(=O)c1ccnc(c1)P(=O)(O)[O].[Cu],32,5.0
141,2.575725,OC(=O)c1ccnc(c1)P(=O)([O])[O].[Cd],34,5.0
142,2.886435,OC(=O)c1ccccc1P(=O)(c1ccccc1C(=O)O)[O].[Ag],43,4.0
143,3.41516,OC(=O)c1ccccc1C(=O)[O-].[K],27,3.0
144,2.881579,OC(=O)c1ccccc1C(=O)[O-].[Cd].n1ccc(cc1)c1ccncc1,47,4.0
145,3.488285,OC(=O)c1ccccc1.[Na].[O-]C(=O)c1ccccc1,37,3.0
146,2.115934,OC(=O)c1ccc(cc1C(=O)[O-])S(=O)(=O)c1ccc(c(c1)C(=O)O)C(=O)[O-].[Zn].n1ccc(cc1)C=Cc1ccncc1,88,5.0
147,3.205472,OC(=O)c1ccc(cc1)S(=O)(=O)[N]S(=O)(=O)c1ccc(cc1)C(=O)O.[Rb],58,5.0
148,3.245629,OC(=O)c1ccc(cc1)S(=O)(=O)[N]S(=O)(=O)c1ccc(cc1)C(=O)O.[K],57,5.0
149,3.562522,OC(=O)c1ccc(cc1)P(=O)(O)[O].OC(=O)c1ccc(cc1)P(=O)([O])O.[Sr],60,4.0
150,2.766674,OC(=O)c1ccc(cc1)P(=O)(O)[O].OC(=O)c1ccc(cc1)P(=O)([O])O.[Ag],60,4.0
151,2.7506,OC(=O)c1ccc(cc1)P(=O)([O])[O].[O-]C(=O)c1ccc(cc1)P(=O)([O])[O].[Pb].[Pb]OP(=O)(c1ccc(cc1)C(=O)O)[O],99,4.0
152,1.925136,OC(=O)c1ccc(cc1)CNc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cd],53,4.0
153,0.536555,OC(=O)c1ccc(cc1)c1cc(ccc1C(=O)[O-])C(=O)[O-].[Co].c1ncn(c1)c1ccc(cc1)n1cncc1,76,4.0
154,2.584493,OC(=O)c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cd].c1ncn(c1)c1ccc(cc1)n1cncc1,78,4.0
155,3.152069,OC(=O)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)O.[O-]C(=O)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-].[Zn][Zn],122,4.0
156,0.978575,OC(=O)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)O.[Cu][Cu].[O-]C(=O)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O-],122,4.0
157,1.565614,OC(=O)c1ccc(c(c1)S([O])([O])[O])C(=O)[O-].[Ag].[Ag][Ag].n1ccc(cc1)c1ccncc1,74,5.0
158,2.35648,OC(=O)c1ccc(c(c1)N)C(=O)[O-].[O]P(=O)([O])[O].[Zn],50,5.0
159,1.731729,OC(=O)c1cc2c(cc1C(=O)[O-])C(=O)c1c(C2=O)cccc1.[Li],50,3.0
160,1.639965,OC(=O)c1cc(ccc1C(=O)[O-])Sc1cccc(c1C(=O)[O-])C(=O)[O-].[Zn][Zn],63,4.0
161,3.368835,OC(=O)c1cc(cc(c1)S([O])([O])[O])C(=O)O.[Na],43,4.0
162,2.866754,OC(=O)c1cc(cc(c1)Oc1ccccc1C(=O)[O-])Oc1ccccc1C(=O)[O-].[Cd].c1ncn(c1)c1ccc(cc1)n1cncc1,86,4.0
163,1.92097,OC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O.[O-]C(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O.[Rb],73,4.0
164,0.9276,OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-].[Cu].n1ccc(cc1)CCc1ccncc1,79,4.0
165,0.901353,OC(=O)c1cc(C(=O)O)c(c(c1C(=O)[O-])C(=O)[O-])C(=O)[O-].[Cu],58,3.0
166,2.763647,OC(=O)c1cc(C(=O)[O-])c(c(c1)C(=O)[O-])C(=O)[O-].[Zn],52,3.0
167,2.827185,OC(=O)c1c[nH]c(=O)[nH]c1=O.[O-]C(=O)c1c[nH]c(=O)[nH]c1=O.[Rb],61,4.0
168,1.542714,OC(=O)c1c(F)c(F)c(c(c1F)F)C(=O)O.[O-]C(=O)c1c(F)c(F)c(c(c1F)F)C(=O)[O-].[Pb],76,4.0
169,2.507164,OC(=O)c1c(cccc1C(=O)[O-])c1cc(cc(c1)C(=O)O)C(=O)[O-].[Zn][Zn],61,3.0
170,1.025342,OC(=O)c1c(cc(nc1c1ccncc1)c1ccncc1)c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Co],79,4.0
171,3.199024,OC(=O)C1=NC=N[C]1C(=O)[O-].[Zn].c1ccc(c(c1)Cn1cncc1)Cn1cncc1,60,4.0
172,3.20972,OC(=O)C1=NC=N[C]1C(=O)[O-].[Cd].[O-]C(=O)C1=C(N=C[N]1)C(=O)O.[O-]C(=O)C1=NC=N[C]1C(=O)O,87,4.0
173,3.401949,OC(=O)C1=NC(=N[C]1C(=O)[O-])Cn1ncnc1.[Cd],41,4.0
174,2.120466,OC(=O)C1=NC(=N[C]1C(=O)[O-])c1ccncc1.[Ag],41,4.0
175,1.620991,OC(=O)C1=CC=C[CH]1.[Fe].[O-]C(=O)C1=CC=C[CH]1.[Sm],50,4.0
176,1.621963,OC(=O)C1=CC=C[CH]1.[Fe].[O-]C(=O)C1=CC=C[CH]1.[Pr],50,4.0
177,1.656431,OC(=O)C1=CC=C[CH]1.[Fe].[La].[O-]C(=O)C1=CC=C[CH]1.[O-]C(=O)C1=C[CH]C=C1,72,4.0
178,1.620954,OC(=O)C1=CC=C[CH]1.[Fe].[Gd].[O-]C(=O)C1=CC=C[CH]1,50,4.0
179,3.201514,OC(=O)C1=C(N=C[N]1)C(=O)[O-].[Cd].[O-]C(=O)C1=NC=N[C]1C(=O)O.c1ncn(c1)Cc1ccc(cc1)Cn1cncc1,89,4.0
180,3.299895,OC(=O)C1=C(N=C[N]1)C(=O)[O-].[Cd].[O-]C(=O)C1=NC=N[C]1C(=O)O.c1ccc(c(c1)Cn1cncc1)Cn1cncc1,89,4.0
181,2.565208,OC(=O)C1=C(N=C[N]1)C(=O)[O-].[Cd],33,4.0
182,2.603026,OC(=O)C1=C(N=C([N]1)c1nc[nH]c1)C(=O)[O-].[Cd],45,4.0
183,2.168632,OC(=O)C1=C(N=C([N]1)C(F)(F)F)C(=O)[O-].[Ag][Ag],47,5.0
184,2.291209,OC(=O)C=Cc1ccc(c(c1)O)O.[K],27,3.0
185,3.04173,OC(=O)C(=O)[O-].[K],19,3.0
186,3.93472,OC(=N)[N]C#N.[Cd],17,4.0
187,3.679991,OB(O)O.[K].[O-]C(=O)C=CC(=O)[O-],32,4.0
188,1.185774,O1CCOCCOCCOCCOCCOCC1.[Fe]1[S]2[Fe]31[Fe]12[S]3[Fe]1.[K].[N]=O,61,6.0
189,2.297801,O1CCOCCN(CCOCCOCCN(CC1)Cc1ccncc1)Cc1ccncc1.[Zn],47,4.0
190,3.022366,O1CCOCC1.O=C1[P]C(C1C(C)(C)C)C(C)(C)C.[Cs],42,4.0
191,3.027424,O1CCOCC1.[O][Si](c1ccccc1)(c1ccccc1)[O].[Ti],44,4.0
192,2.749406,O1CCOCC1.[Na],13,3.0
193,5.385582,O1CCOCC1.[Na],13,3.0
194,2.385144,O1CCOCC1.[Mn],13,3.0
195,3.487332,O1CCOCC1.[Mg],13,3.0
196,3.497431,O1CCOCC1.[Mg],13,3.0
197,3.802077,O1CCOCC1.[Mg],13,3.0
198,3.866396,O1CCOCC1.[Li].[O]c1ccncc1,25,4.0
199,5.52157,O1CCOCC1.[Li],13,3.0
200,3.096882,O1CCOCC1.[K].[O]c1ccc(cc1)Cl,28,4.0
201,2.68017,O1CCOCC1.[K],12,3.0
202,0.97934,O1CCOCC1.[Cu][Cu],17,3.0
203,0.957272,O1CCOCC1.[Cu][Cu],17,3.0
204,0.850355,O1CCOCC1.[Cu][Cu],17,3.0
205,0.953007,O1CCOCC1.[Cu][Cu],17,3.0
206,2.941736,O1CCOCC1.[Cd],13,3.0
207,0.061373,O=S1(=O)[N]c2c([N]1)c1cccnc1c1c2cccn1.[K],41,5.0
208,1.444421,O=S(c1nccnc1)c1nccnc1.[Ag],26,5.0
209,1.85678,O=S(=O)=O.[Zn].n1ccc(cc1)c1ccncc1,33,5.0
210,2.899865,O=S(=O)=O.[O-]C(=O)C(=O)[O-].[Zn],33,4.0
211,4.559576,O=S(=O)=O.[Nd].[O-]C(=O)C,25,4.0
212,1.377931,O=S(=O)(c1nccnc1)c1nccnc1.[Ag],30,5.0
213,2.085339,O=S(=O)(c1ccccn1)Cc1ccccn1.[Ag],31,5.0
214,2.580098,O=S(=O)(c1ccc(cc1)n1cncc1)c1ccc(cc1)n1cncc1.[O-]C(=O)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)C(=O)[O-].[Zn],96,5.0
215,2.341327,O=S(=O)(c1ccc(cc1)n1cncc1)c1ccc(cc1)n1cncc1.[O-]C(=O)C1CCC(CC1)C(=O)[O-].[Zn],77,5.0
216,2.545013,O=S(=O)(c1ccc(cc1)n1cncc1)c1ccc(cc1)n1cncc1.[Cd].[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-],83,5.0
217,2.254559,O=S(=O)(c1ccc(cc1)n1cncc1)c1ccc(cc1)n1cncc1.[Cd],48,5.0
218,2.613339,O=P12CN3CN(C2)CN(C1)C3.[Ag],27,5.0
219,0.841419,O=P(c1ccccc1)(c1ccccc1)CCP(=O)(c1ccccc1)c1ccccc1.[Co],53,4.0
220,2.016262,O=N(=O)c1ccccc1C(=O)[O-].[Cd],29,4.0
221,1.709252,O=N(=O)c1ccccc1[O].[K],22,4.0
222,1.724335,O=N(=O)c1ccccc1[O].[Ba],23,4.0
223,2.302511,O=N(=O)c1ccc(cc1)OP(=O)(Oc1ccc(cc1)N(=O)=O)[O].[Na],51,5.0
224,1.21882,O=N(=O)c1ccc(cc1)[N][N][N]c1ccc(cc1)N(=O)=O.[K],47,4.0
225,1.659023,O=N(=O)c1ccc(c(c1)S([O])([O])[O])Cl.[Ag].[Ag][Ag],49,6.0
226,2.320287,O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-].[In],62,4.0
227,0.666777,O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-].[Cu].n1ccc(cc1)c1ccncc1,81,4.0
228,2.174566,O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-].[Cd].n1ccc(cc1)c1ccncc1,81,4.0
229,1.666443,O=N(=O)c1cc(ccc1c1ccc(cc1N(=O)=O)C(=O)[O-])C(=O)[O-].[Zn].n1ccc(cc1)C=Cc1ccncc1,79,4.0
